CCA581;ZBAA;B789
CCA583;ZBAA;A332
CCA627;ZSPD;A359
CCA679;ZBAA;A359
CES219;ZSPD;B77W
CES7219;ZSPD;A332
CFE16A;EGLC;E190
CFE40E;EGLC;E190
CFE504;EGLC;E190
CFE7VR;EGLC;E190
CFE924;EGLC;E190
CFG031;HEGN;A320
CFG1MW;GCTS;A332
CFG2033;KSEA;B763
CFG2063;KLAS;B763
CFG2115;MMUN;B763
CFG2117;MMUN;B763
CFG2119;MMUN;B763
CFG2144;MDSD;B763
CFG2185;MUHA;B763
CFG2199;MUVR;B763
CFG2207;MUHG;B763
CFG2209;MDPC;B763
CFG2227;MDPC;B763
CFG2229;MDPC;B763
CFG2315;FIMP;B763
CFG2321;VRMM;B763
CFG3813;MDLR;B763
CFG3965;TNCM;B763
CFG6LA;GCTS;A332
CFG9EF;GCFV;A332
CKK211;ZSPD;B77L
CND925P;EHAM;B738
CND9296;DTNH;B738
CPA289;VHHH;B77W
CSN403;ZUCK;B77L
CSN461;ZSPD;B77L
CSN463;ZSPD;B77L
CSN465;ZGGG;B77L
CSN467;ZGGG;B77L
CTN410;LDZA;DH8D
CTN412;LDSP;A319
CTN414;LDZA;DH8D
CTN416;LDZA;A319
DAH2070;DAAG;B738
DAH2208;DAAG;B737
DAL106;KJFK;A332
DAL14;KATL;A332
DCDSO;EDNY;C55B
DCWPS;EDDH;E55P
DKH1623;ZSPD;B789
DKH1625;ZSPD;B789
DLA02P;LOWL;E195
DLA1TN;LIMF;E195
DLA3MR;LIPX;E195
DLA3NE;LIMF;E195
DLA5PF;LIPX;E195
DLA5YJ;LIRQ;E195
DLA7KF;LIRP;E195
DLA8045;LOWL;E195
DLA9CJ;LIRQ;E195
DLH001;EDDH;A319
DLH01F;LEMD;A320
DLH033;EDDH;A320
DLH03H;LOWG;A319
DLH04C;LEMD;A320
DLH04P;LFML;A320
DLH065;EDDG;CRJ9
DLH06Y;LOWS;A320
DLH073;EDDL;A320
DLH07A;LOWW;A320
DLH07T;LOWS;A319
DLH081;EDDL;A321
DLH085;EDDL;E190
DLH111;EDDM;A320
DLH11U;LFRS;CRJ9
DLH1293;LCLK;A20N
DLH1301;LTFM;A20N
DLH1305;LTFM;A21N
DLH1307;OLBA;A320
DLH1309;OLBA;A319
DLH1317;DAAG;A343
DLH1323;DTTA;A21N
DLH1327;DTTA;A20N
DLH1331;GMMN;A320
DLH13W;LEBL;A320
DLH1425;LATI;A319
DLH1455;LATI;A320
DLH1561;UDYZ;A319
DLH1591;EETN;A343
DLH1593;KORD;A343
DLH161;EDDP;CRJ9
DLH163;EDDP;E190
DLH173;EDDB;A321
DLH175;EDDB;A321
DLH195;EDDB;A321
DLH19Y;LFLL;A20N
DLH1C;LSZH;A320
DLH1EC;LDZA;A320
DLH1HP;LBSF;A20N
DLH1HV;EDDL;A320
DLH1KN;EDDH;A20N
DLH1KR;EDDM;A321
DLH1LT;EGNT;CRJ9
DLH1MM;LIRF;A320
DLH1P;LKPR;A319
DLH1PK;ESGG;A321
DLH1RL;EGPH;A321
DLH1VR;EDDG;CRJ9
DLH1VV;LIPE;A319
DLH1W;EBBR;A320
DLH1WN;EDDG;CRJ9
DLH1Y;EBBR;A320
DLH1YA;LIML;A319
DLH1YX;EDDH;A321
DLH201;EDDB;A319
DLH21A;LPPT;A320
DLH21X;LPPR;A20N
DLH22H;LEPA;A320
DLH23M;LOWG;A320
DLH253;LIMC;A319
DLH257;LIMC;A319
DLH259;LIMC;A20N
DLH26Y;LGTS;A320
DLH27F;LFBO;A319
